Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
water-filter-fitting-tee-quick-connect-38-enviro-aqua,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l500-8.jpg,2,"Water Filter Fitting Tee Quick Connect 3/8"". Enviro Aqua",,,,
water-filter-fitting-tee-quick-connect-38-enviro-aqua,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-1-8.jpg,3,"Water Filter Fitting Tee Quick Connect 3/8"". Enviro Aqua",,,,
water-filter-fitting-tee-quick-connect-38-enviro-aqua,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-2-3.jpg,4,"Water Filter Fitting Tee Quick Connect 3/8"". Enviro Aqua",,,,
water-filter-fitting-tee-quick-connect-38-enviro-aqua,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-3-1.jpg,5,"Water Filter Fitting Tee Quick Connect 3/8"". Enviro Aqua",,,,
diverter-valve-tap-connector-for-14-tube-benchtop-water-filters,"Diverter Valve Tap connector for 1/4"" tube Benchtop water filters","<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3409,0,shopify,10,deny,manual,27.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-13.jpg,1,"Diverter Valve Tap connector for 1/4"" tube Benchtop water filters",FALSE,"Diverter Valve Tap connector for 1/4"" tube | Enviro Aqua","Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
diverter-valve-tap-connector-for-14-tube-benchtop-water-filters,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-1-9.jpg,2,"Diverter Valve Tap connector for 1/4"" tube Benchtop water filters",,,,
diverter-valve-tap-connector-for-14-tube-benchtop-water-filters,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-2-4.jpg,3,"Diverter Valve Tap connector for 1/4"" tube Benchtop water filters",,,,
inline-uf-ultrafiltration-filter-cartridge,Inline UF Ultrafiltration Filter Cartridge,"<p>Replacement filter cartridge for water filtration systems. Compatible with standard housings used across major water filter brands.</p><p>Replacement frequency depends on your water quality and usage. Most household applications see 6 to 12 months of service life from each cartridge, though high-sediment water or high-flow households may require more frequent changes. Signs that it&#x27;s time to replace include: reduced flow rate, return of chlorine taste or odour, or visible discolouration of the cartridge. Always flush new cartridges before drinking the first batch of water.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3419,0,shopify,10,deny,manual,24.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-3-3.jpg,1,Inline UF Ultrafiltration Filter Cartridge,FALSE,Inline UF Ultrafiltration Filter Cartridge | Enviro Aqua,"Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
inline-uf-ultrafiltration-filter-cartridge,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l500-9.jpg,2,Inline UF Ultrafiltration Filter Cartridge,,,,
inline-uf-ultrafiltration-filter-cartridge,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-15.jpg,3,Inline UF Ultrafiltration Filter Cartridge,,,,
digital-ph-meter-tds-tester-analysis-monitor-for-aquarium-pool-r1bo,Digital PH Meter + TDS Tester Analysis Monitor for Aquarium Pool R1BO,"<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3429,0,shopify,10,deny,manual,144.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-17.jpg,1,Digital PH Meter + TDS Tester Analysis Monitor for Aquarium Pool R1BO,FALSE,Digital PH Meter + TDS Tester Analysis | Enviro Aqua,Replacement filter cartridge for water filtration systems. Compatible with standard housings used across major water filter brands.,active
digital-ph-meter-tds-tester-analysis-monitor-for-aquarium-pool-r1bo,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-1-13.jpg,2,Digital PH Meter + TDS Tester Analysis Monitor for Aquarium Pool R1BO,,,,
digital-ph-meter-tds-tester-analysis-monitor-for-aquarium-pool-r1bo,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-2-6.jpg,3,Digital PH Meter + TDS Tester Analysis Monitor for Aquarium Pool R1BO,,,,
2x-home-plastic-3-way-water-purifier-filters-tube-quick-connect-fitting-white,2X Home Plastic 3-Way Water Purifier Filters Tube Quick Connect Fitting White,"<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3433,0,shopify,10,deny,manual,14.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-3-4.jpg,1,2X Home Plastic 3-Way Water Purifier Filters Tube Quick Connect Fitting White,FALSE,2X Home Plastic 3-Way Water Purifier Filters | Enviro Aqua,"Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
2x-home-plastic-3-way-water-purifier-filters-tube-quick-connect-fitting-white,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l500-10.jpg,2,2X Home Plastic 3-Way Water Purifier Filters Tube Quick Connect Fitting White,,,,
2x-home-plastic-3-way-water-purifier-filters-tube-quick-connect-fitting-white,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-1-14.jpg,3,2X Home Plastic 3-Way Water Purifier Filters Tube Quick Connect Fitting White,,,,
2x-home-plastic-3-way-water-purifier-filters-tube-quick-connect-fitting-white,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-18.jpg,4,2X Home Plastic 3-Way Water Purifier Filters Tube Quick Connect Fitting White,,,,
digital-meter-tds-tester-aquarium-pool-spa-hydroponic-water-monitor-da,Digital Meter TDS Tester Aquarium Pool SPA Hydroponic Water Monitor DA,"<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3438,0,shopify,10,deny,manual,24.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-19.jpg,1,Digital Meter TDS Tester Aquarium Pool SPA Hydroponic Water Monitor DA,FALSE,Digital Meter TDS Tester Aquarium Pool SPA | Enviro Aqua,"Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
digital-meter-tds-tester-aquarium-pool-spa-hydroponic-water-monitor-da,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-1-15.jpg,2,Digital Meter TDS Tester Aquarium Pool SPA Hydroponic Water Monitor DA,,,,
digital-meter-tds-tester-aquarium-pool-spa-hydroponic-water-monitor-da,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-2-7.jpg,3,Digital Meter TDS Tester Aquarium Pool SPA Hydroponic Water Monitor DA,,,,
digital-meter-tds-tester-aquarium-pool-spa-hydroponic-water-monitor-da,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-3-5.jpg,4,Digital Meter TDS Tester Aquarium Pool SPA Hydroponic Water Monitor DA,,,,
14-push-fit-pipe-fitting-elbow-tube-connector-joiner-water-filter-fridge-ro,"1/4"" Push Fit Pipe Fitting Elbow Tube Connector Joiner Water Filter Fridge RO","<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3443,0,shopify,10,deny,manual,17.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/elbow0.jpg,1,"1/4"" Push Fit Pipe Fitting Elbow Tube Connector Joiner Water Filter Fridge RO",FALSE,"1/4"" Push Fit Pipe Fitting Elbow Tube | Enviro Aqua","Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
14-push-fit-pipe-fitting-elbow-tube-connector-joiner-water-filter-fridge-ro,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l500-11.jpg,2,"1/4"" Push Fit Pipe Fitting Elbow Tube Connector Joiner Water Filter Fridge RO",,,,
14-push-fit-pipe-fitting-elbow-tube-connector-joiner-water-filter-fridge-ro,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-1-16.jpg,3,"1/4"" Push Fit Pipe Fitting Elbow Tube Connector Joiner Water Filter Fridge RO",,,,
ro-wrench-for-water-filter-wrenching-1812-housing-of-reverse-osmosis-membrane,RO Wrench for Water Filter wrenching 1812 Housing of Reverse Osmosis Membrane,"<p>Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4&quot; tubing. Suitable for connecting filter housings, RO membranes, holding tanks, and dedicated drinking taps. Stocked locally in Sydney for next-day Australian dispatch.</p><p>Quality fittings are critical to the long-term reliability of any water filtration system. Push-fit connections make installation tool-free, but require quality components to maintain a leak-free seal under pressure. All Enviro Aqua fittings are pressure-tested and rated for use with reverse osmosis systems and drinking water applications. Standard 1/4&quot; sizing is compatible with virtually every residential RO and water filter system on the Australian market.</p><p>## Why buy from Enviro Aqua</p><p>Enviro Aqua is an Australian-owned water filtration specialist based on the NSW Central Coast. We supply residential, commercial, and industrial water treatment products across Australia — with local warehousing for fast dispatch, Australian-standards-compliant products, and direct support from our team if you need help choosing the right system. Where applicable, our products carry WaterMark and WELS certification for full compliance with Australian plumbing standards. Free shipping on orders over $99 within Australia.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3450,0,shopify,10,deny,manual,14.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-22.jpg,1,RO Wrench for Water Filter wrenching 1812 Housing of Reverse Osmosis Membrane,FALSE,RO Wrench for Water Filter wrenching 1812 | Enviro Aqua,"Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
ro-wrench-for-water-filter-wrenching-1812-housing-of-reverse-osmosis-membrane,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l500-12.jpg,2,RO Wrench for Water Filter wrenching 1812 Housing of Reverse Osmosis Membrane,,,,
ro-wrench-for-water-filter-wrenching-1812-housing-of-reverse-osmosis-membrane,,,,,,,,,,,,,,,,,,,,,,,,,https://enviroaqua.com.au/wp-content/uploads/2020/07/s-l1600-1-18.jpg,3,RO Wrench for Water Filter wrenching 1812 Housing of Reverse Osmosis Membrane,,,,
inline-shutoff-ball-valve-push-fit-quick-connect-14,"Inline Shutoff Ball Valve | Push Fit Quick Connect | 1/4""","<p>The 1/4&quot; Inline Ball Valve Push Fit is an essential component for managing water flow in reverse osmosis (RO) and other water filtration systems. Its user-friendly design and reliable performance make it a valuable addition to any water purification setup.</p><p>Key Features:</p><p>Easy Installation: The push-fit mechanism allows for quick and tool-free connection to 1/4&quot; tubing, simplifying the installation process.</p><p>Reliable Flow Control: This inline ball valve provides precise control over water flow, enabling users to start or stop the flow as needed, which is particularly useful during maintenance or filter replacements.</p><p>Leak-Free Performance: Constructed with high-quality materials, the valve ensures a secure and leak-free connection, maintaining the integrity of your water filtration system.</p><p>Versatile Application: Suitable for use in various systems, including reverse osmosis units, fridge dispensers and under-sink systems.</p>",Enviro Aqua,,Water Filter,,TRUE,Title,Default Title,,,,,EA-WF-3458,0,shopify,10,deny,manual,7.95,,TRUE,TRUE,,https://enviroaqua.com.au/wp-content/uploads/2020/07/1-4-inch-inline-ball-valve-push-fit-for-ro-reverse-osmosis-water-filter.png,1,"Inline Shutoff Ball Valve | Push Fit Quick Connect | 1/4""",FALSE,Inline Shutoff Ball Valve | Enviro Aqua,"Quality plumbing fitting for water filtration systems, reverse osmosis installations, and standard 1/4"" tubing.",active
